document_id,title,so_ky_hieu,loai_van_ban,tinh_trang_hieu_luc,content_text_length,content_sha256
84077,Về việc ban hành Quy định về hoạt động khuyến công trên địa bàn tỉnh Đắk Nông,08/2015/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,77,2f4a2a6f517918266ddf9181fae989c3e1ff82f02db921efe3742849ecab4c25
84277,Quy định mức chi thực hiện công tác hoà giải cơ sở trên địa bàn tỉnh Đắk Nông,06/2015/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,77,82f79cf5c4954ecb809dcc8a21ad00545c010f4c69131001f7664d7c3bb82405
85282,"Về việc tăng cường phòng, chống tai nạn đuối nước trẻ em",04/2014/CT-UBND,Chỉ thị,Hết hiệu lực toàn bộ,56,5f6de819f2db24099b4395656b1992606c57ca0f5b1af6593885079b9e856e9d
85735,"Về việc ban hành Quy chế công tác văn thư, lưu trữ trên địa bàn tỉnh Đắk Nông",17/2014/QĐ-UBND,Quyết định,Còn hiệu lực,77,0179bb8aacd5ad042e11a06c72d0688161e39130454e1ea79a4eb5ccd196c9a6
95901,Về việc phân cấp cấp Giấy phép kinh doanh karaoke trên địa bàn thành phố Hà Nội,Quyết định 01/2015/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,79,b4a67af6589deed4a36a82b3fe0f776a70e82b1dfcc0b8765eb68f0d8f837a5d
113111,"Quy định các biểu mẫu trong hoạt động đăng ký quyền tác giả, quyền liên quan",08/2016/TT-BVHTTDL,Thông tư,Hết hiệu lực toàn bộ,76,3d95ff59cb1623c292338a6aa80a1ccc4f7d6e856eaf438763cacd1b21601784
118054,"Sửa đổi, bổ sung một số điều của Quy định ban hành
kèm theo Quyết định số 33/2014/QĐ-UBND ngày 22/12/2014 của
Ủy ban nhân dân tỉnh về việc ban hành Quy định về chính sách
khuyến khích đầu tư xây dựng cơ sở giết mổ gia súc, gia cầm tập trung
trên địa bàn tỉnh Bình định, giai đoạn 2015 - 2020",71/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
117494,Về kết quả phối hợp giải quyết những vấn đề phát sinh giữa hai kỳ họp,49/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,19,9fb98b39d120ac6ac2ec94411e3865938aab7b4d5d905f2e5fee11c189ef431e
117063,"Về việc thông qua chủ trương vay lại nguồn vốn vay Ngân hàng thế giới (WB), phương án trả nợ vay và chấp thuận dự án Đầu tư xây dựng cầu dân sinh và quản lý tài sản đường địa phương (LRAMP)",22/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực một phần,16,e4b6ae2bc5632e4fcdcbb8ba3e080f5628a317c97d2e85b92b630781b6761ca6
118136,Về việc thông qua đồ án quy hoạch xây dựng Vùng tỉnh Bình Định đến năm 2035,20/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,19,9fb98b39d120ac6ac2ec94411e3865938aab7b4d5d905f2e5fee11c189ef431e
118135,"Quy định mức chi đón tiếp, thăm hỏi, chúc mừng đối với một số đối tượng do Ủy ban Mặt trận Tổ quốc Việt Nam tỉnh và Ủy ban Mặt trận Tổ quốc Việt Nam cấp huyện thực hiện trên địa bàn tỉnh Bình Định",17/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,19,9fb98b39d120ac6ac2ec94411e3865938aab7b4d5d905f2e5fee11c189ef431e
118138,"Về chủ trương vay vốn của Ngân hàng Thế giới để thực hiện
Dự án: Môi trường bền vững các thành phố duyên hải –
Tiểu dự án thành phố Quy Nhơn",23/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực một phần,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118140,"Về việc điều chỉnh chỉ tiêu Tỷ lệ dân số tham gia bảo hiểm y tế năm 2016
của tỉnh Bình Định để thực hiện Quyết định số 1167/QĐ-TTg
ngày 28 tháng 6 năm 2016 của Thủ tướng Chính phủ",25/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118156,"Ban hành điều chỉnh, bổ sung Bảng giá các loại đất
năm 2015 (định kỳ 5 năm) trên địa bàn tỉnh Bình Định",38/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118154,"Giao chỉ tiêu kế hoạch đầu tư vốn Ngân sách Trung ương giai đoạn
2016-2020 và kế hoạch đầu tư phát triển Ngân sách nhà nước
năm 2017 trên địa bàn tỉnh Bình Định",35/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118145,Đề án đặt tên đường (bổ sung) trên địa bàn thành phố Quy Nhơn năm 2016,43/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118148,Đề án đặt tên đường (bổ sung) trên địa bàn thị xã An Nhơn năm 2016,44/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118141,"Về việc tiếp tục thực hiện Nghị quyết số 33/2011/NQ-HĐND
ngày 18 tháng 8 năm 2011 của Hội đồng nhân dân tỉnh về Quy chế hoạt
động của Hội đồng nhân dân tỉnh khóa XI và Nghị quyết số 11/NQ-HĐND
ngày 26 tháng 7 năm 2013 của Hội đồng nhân dân tỉnh quy định chế độ,
định mức chi phục vụ hoạt động Hội đồng nhân dân các cấp tỉnh Bình Định
khóa XI, nhiệm kỳ 2011-2016",26/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118139,"Về việc công nhận xã Mỹ Chánh, huyện Phù Mỹ là đô thị loại V",24/2016/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
118142,Về kết quả phối hợp giải quyết những vấn đề phát sinh giữa hai kỳ họp,27/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
